"route","animal","species","type","frequency","project","recv1","recv2","lon1","lat1","lon2","lat2","dtStart","dtEnd"
"2456.6072","6488,7893,7452","16620,4630,14250","LineString","166.38","47,50,92",6072,2456,-80.5623,42.7259,-80.31075,42.91551,2016-05-22,2016-08-27
"2456.7228","2049,2028,7482,7560,7617,7591,7593,8632","35407,35407,14230,14250,14250,14250,14250,14250","LineString","166.38","70,92",2456,7228,-80.31075,42.91551,-80.3573,42.7102,2015-07-20,2016-08-29
"2482.2482","4234,4229,4296,4220,4297,4297,5998","16620,16620,16890,16620,16890,16890,19650","LineString","166.38","18,64",2482,2482,-83.21695,41.6394,-83.21695,41.6394,2014-05-08,2016-04-14
"2482.2483","4251,4242,4249,4244,4236,4247,4244,4249,4248,4243,4247","16620,16620,16620,16620,16620,16620,16620,16620,16620,16620,16620","LineString","166.38","18",2482,2483,-83.21695,41.6394,-83.24543,41.62298,2014-04-26,2014-05-11
"2482.2484","4215,4278,4215,4279,4233","16890,16890,16890,16890,16580","LineString","166.38","18",2482,2484,-83.21695,41.6394,-83.2454,41.62296,2014-05-12,2014-05-26
"2482.2487","4243,4241,4242,4247","16620,16620,16620,16620","LineString","166.38","18",2482,2487,-83.21695,41.6394,-83.2315,41.6109,2014-05-03,2014-05-12
"2482.2488","4240,4278,4282,4276,5509","16620,16890,16890,16890,2720","LineString","166.38","18,64",2482,2488,-83.21695,41.6394,-83.2313,41.611,2014-05-08,2015-10-18
"2482.2514","5492","2720","LineString","166.38","64",2482,2514,-83.21695,41.6394,-72.798672,42.849763,2015-09-09,2015-09-09
"2482.2763","5504","2720","LineString","166.38","64",2763,2482,-86.2942,38.2289,-83.21695,41.6394,2015-09-20,2015-10-27
"2482.2913","6001,6477,6470,6470,6480","19650,19650,19650,19650,19650","LineString","166.38","64",2913,2482,-83.23132,41.61096,-83.21695,41.6394,2016-05-03,2016-05-11
"2482.2917","6481","19650","LineString","166.38","64",2482,2917,-83.21695,41.6394,-83.4703,41.7635,2016-05-11,2016-05-11
"2482.2946","5998","19650","LineString","166.38","64",2482,2946,-83.21695,41.6394,-83.174952,41.611521,2016-04-16,2016-04-17
"2482.3192","5512,4351,5504","19650,15580,2720","LineString","166.38","49,64",2482,3192,-83.21695,41.6394,-74.5417,4.3224,2015-09-29,2016-03-11
"2482.5389","6475","19650","LineString","166.38","64",2482,5389,-83.21695,41.6394,-83.2555,41.6308,2016-05-03,2016-05-03
"2483.2483","4247,4247","16620,16620","LineString","166.38","18",2483,2483,-83.24543,41.62298,-83.24543,41.62298,2014-05-06,2014-05-11
"2483.2487","4246,4251,4243,4236","16620,16620,16620,16620","LineString","166.38","18",2487,2483,-83.2315,41.6109,-83.24543,41.62298,2014-04-27,2014-05-07
"2484.2488","4278,4293,4276,4233","16890,16890,16890,16580","LineString","166.38","18",2484,2488,-83.2454,41.62296,-83.2313,41.611,2014-05-14,2014-05-29
"2487.2488","4234","16620","LineString","166.38","18",2488,2487,-83.2313,41.611,-83.2315,41.6109,2014-05-12,2014-05-12
"2488.2488","4240,4276,4269,4269,4254,5513,5509","16620,16890,16620,16620,16620,19650,2720","LineString","166.38","18,64",2488,2488,-83.2313,41.611,-83.2313,41.611,2014-05-08,2015-11-02
"2488.2491","4282","16890","LineString","166.38","18",2488,2491,-83.2313,41.611,-82.8264,41.4009,2014-05-22,2014-05-23
"2488.4345","4261,4269,4302","16620,16620,16620","LineString","166.38","18",4345,2488,-83.217,41.6394,-83.2313,41.611,2015-05-06,2015-05-21
"2490.5756","4276","16890","LineString","166.38","18",2490,5756,-83.33352,41.91278,-81.8249,43.2497,2014-05-23,2014-05-24
"2491.4257","4282","16890","LineString","166.38","18",2491,4257,-82.8264,41.4009,-82.985,41.5307,2014-05-23,2014-05-23
