deploymentID,tag_deploy_id,species_id
4303,13051,2720
4109,22189,15580
7903,32797,14120
6054,37332,45843
2291,1703,4760
4027,14393,14230
7889,38279,3830
6055,32421,45843
7341,36874,14030
8215,37052,14030
2900,12954,14120
7446,33377,16930
663,1561,4690
3352,8590,4690
4892,29147,123690
3943,32537,45843
5334,23729,16930
2580,2275,3580
2549,12989,15600
2145,2031,35407
2549,9196,123940
2841,5724,16820
4796,24085,4700
4788,23918,14050
7463,37774,4820
3593,8577,4190
7598,31193,7720
4532,26732,45843
5721,29591,3830
2181,2063,35407
5711,20883,4670
3234,8416,2720
6057,28090,14250
4871,26368,45843
4365,37116,15651
8515,32702,14250
4973,21327,4670
3472,12410,15570
3547,8842,4680
4377,13733,15580
3701,28126,36467
4393,8846,4680
3318,9837,19650
5065,27767,4690
1051,815,4690
2285,1756,4690
2165,7588,14250
7996,33522,19550
7571,32958,14050
2161,997,4670
3469,12249,4690
4094,12679,14120
4863,24864,7871
5243,22540,38790
3475,27224,18890
3127,20398,15600
3278,21127,4670
3861,17433,36467
8080,38804,45843
2882,2261,3580
3445,10803,16940
1913,4983,16820
5297,30786,45843
2379,8041,4670
4996,19039,19650
7733,32618,14050
4310,36237,125480
3807,16180,15651
7691,33781,42067
740,2066,35407
3095,8263,4760
3929,17538,15580
4532,27107,45843
8614,37971,4820
2167,2318,124780
2622,7744,4980
4175,1344,4680
3992,19552,4630
7749,33642,119680
3158,679,4670
694,897,4690
5062,23693,15600
4544,27969,42067
7497,28558,NULL
3467,7890,4680
5160,22148,16940
4343,19434,42067
4335,36708,15651
7906,34670,18990
3005,14323,15600
4514,21349,4630
4101,12281,4690
4271,22247,15580
7257,25426,42067
3483,8914,4180
3991,25184,7871
4639,20893,4670
3807,31892,45843
4686,19232,16770
7306,36085,15580
2545,5662,7680
4787,23324,14050
6054,36957,45843
3895,10756,16920
5614,28317,4750
721,4997,16820
7952,31949,16300
5904,27914,36466
4286,21137,4670
2123,17081,16770
4784,23163,119940
3461,8710,4670
7548,30019,15580
5552,27979,42067
3253,10374,4760
3526,12266,4690
4888,19281,121310
7257,25681,42067
8452,37913,16930
7326,12448,15580
3722,9740,45874
3044,8230,4690
8002,35925,7750
5490,23141,19650
7244,29475,36271
2307,5100,19030
4540,12252,4690
5369,23857,14230
0,5310,16820
6054,37392,45843
5707,25295,14040
3604,7763,5570
4636,7513,14250
3947,19698,252456
6125,27811,16290
6185,29973,42067
2136,7556,14250
4364,16949,36704
6156,31856,19760
4203,29593,36467
696,1034,4670
4630,21154,4670
3802,25683,42067
2429,1967,35407
7273,29619,15580
2146,24136,15600
5127,20903,4670
5624,25361,45874
