"stationID","deployID","name","dtStart","dtEnd","nAnt","frequency","country","continent"
1514,3596,"MNYN",2014-06-16,2014-06-24,6,"166.38","USA","North America"
1514,3597,"MNYN",2014-06-24,2014-11-29,6,"166.38","USA","North America"
1517,3598,"MNYS",2014-06-08,2014-11-29,6,"166.38","USA","North America"
1517,3599,"MNYS",2015-05-29,2015-11-09,6,"166.38","USA","North America"
1573,3600,"MUSK",2014-05-30,2015-05-07,6,"166.38",NA,NA
1572,3602,"MUSK",2016-05-14,2017-09-17,6,"166.38",NA,NA
1595,3604,"NAPA",2014-07-11,2014-10-24,6,"166.38",NA,NA
1596,3605,"NAPA",2015-04-28,2015-10-25,6,"166.38",NA,NA
1633,3606,"NOMA",2014-07-20,2014-10-31,6,"166.38",NA,NA
1634,3607,"NOMS",2014-07-20,2014-10-31,1,"166.38",NA,NA
1802,3609,"PLIS",2015-05-22,2015-10-26,6,"166.38",NA,NA
2008,3612,"SACH",2014-07-13,2014-10-20,6,"166.38",NA,NA
2253,3614,"TERN",2013-04-26,2013-04-26,1,"166.38",NA,NA
2253,3615,"TERN",2013-07-25,2013-11-22,1,"166.38",NA,NA
2253,3616,"TERN",2014-06-11,2014-11-29,1,"166.38",NA,NA
2376,3618,"TRUS",2015-05-12,2015-11-07,6,"166.38",NA,NA
2429,3619,"WAQT",2015-06-13,2015-09-12,6,"166.38",NA,NA
2455,3620,"WELL",2015-06-29,2015-10-18,6,"166.38","USA","North America"
823,3623,"ELPT",2013-07-07,2013-09-26,6,"166.38",NA,NA
674,3624,"CTPT",2013-07-08,2013-09-27,6,"166.38",NA,NA
1049,3625,"GTPT",2013-07-08,2013-09-28,6,"166.38",NA,NA
1572,3626,"MUSK",2013-07-14,2013-09-29,6,"166.38",NA,NA
2375,3627,"Truro",2016-11-13,2017-04-20,2,"166.38","CAN","North America"
533,3628,"Cape Jourimain",2016-11-13,2016-12-22,2,"166.38",NA,NA
1516,3630,"MNYN",2013-07-03,2013-11-22,6,"166.38","USA","North America"
1517,3632,"MNYS",2013-06-27,2013-09-04,6,"166.38","USA","North America"
1517,3633,"MNYS",2013-09-06,2013-09-06,6,"166.38","USA","North America"
2253,3634,"TERN",2013-04-24,2013-04-25,1,"166.38",NA,NA
1047,3637,"GTPF",2013-07-03,2013-11-22,1,"166.38","USA","North America"
184,3638,"aerial",2013-09-04,2013-09-04,NA,NA,NA,NA
184,3639,"aerial",2013-08-15,2013-09-05,NA,NA,NA,NA
1867,3641,"Prince_Edward_Point_Bird_Observatory",2016-12-06,2017-03-20,2,"166.38","CAN","North America"
1630,3642,"NOAA",2014-07-06,2014-11-25,NA,NA,NA,NA
2466,3643,"West Bay 2",2016-11-13,2017-04-17,2,"166.38",NA,NA
1168,3644,"Inkerman ",2016-11-19,2017-05-14,2,"166.38",NA,NA
831,3645,"Escuminac2",2016-11-20,2017-05-12,2,"166.38","CAN","North America"
1252,3646,"Kouchibouguac2",2016-11-20,2017-05-12,2,"166.38","CAN","North America"
988,3647,"Gardner Creek 2",2016-11-12,2017-04-26,2,"166.38","CAN","North America"
1332,3648,"Lockhartville",2016-12-01,2017-04-10,2,"166.38","CAN","North America"
1355,3649,"Louisbourg",2016-11-23,2017-05-05,2,"166.38",NA,NA
2149,3650,"Skyline",2016-11-23,2017-05-05,2,"166.38","CAN","North America"
512,3651,"Canso",2016-11-24,2017-05-04,2,"166.38",NA,NA
1621,3652,"New Harbour",2016-11-24,2019-04-02,2,"166.38","CAN","North America"
2471,3653,"West Quoddy",2016-11-24,2017-05-02,2,"166.38","CAN","North America"
2244,3654,"Taylor Head",2016-11-24,2017-07-09,2,"166.38",NA,NA
1348,3656,"Lookoff",2016-11-26,2017-04-10,2,"166.38","CAN","North America"
350,3657,"Black Rock 2",2016-11-26,2017-04-10,2,"166.38","CAN","North America"
1832,3658,"Port George 2",2016-11-26,2017-04-10,2,"166.38","CAN","North America"
799,3659,"East Kemptville 2",2016-11-29,2017-05-15,2,"166.38","CAN","North America"
1836,3660,"Port Maitland 2",2016-11-29,2017-04-09,2,"166.38","CAN","North America"
526,3661,"Cape Forchu",2016-11-29,2017-04-08,2,"166.38",NA,NA
1883,3662,"Pubnico2",2016-11-30,2017-04-08,2,"166.38","CAN","North America"
2108,3663,"Shag Harbour 2",2016-11-30,2017-04-08,2,"166.38",NA,NA
275,3664,"Baccaro",2016-11-30,2017-04-08,2,"166.38",NA,NA
1471,3665,"Middle Ohio 3",2016-11-30,2017-04-08,2,"166.38","CAN","North America"
1204,3666,"Jordan Bay",2016-11-30,2017-04-08,2,"166.38",NA,NA
1441,3667,"Matthew's Lake",2016-11-30,2017-04-08,2,"166.38",NA,NA
1838,3668,"Port Mouton 2",2016-11-30,2017-04-07,2,"166.38","CAN","North America"
358,3669,"Blandford2",2016-12-01,2017-04-07,2,"166.38","CAN","North America"
1150,3675,"Huggins",2015-08-14,2018-03-05,2,"166.38","CAN","North America"
