sensorID,serialNumber
2257,SG-1914BBBK0929
2147,SG-1914BBBK0935
2262,SG-1914BBBK0942
2601,SG-1914BBBK0960
1513,SG-1915BBBK0061
1645,SG-1915BBBK0061
1514,SG-1915BBBK0112
1515,SG-1915BBBK0115
1516,SG-1915BBBK0201
1517,SG-1915BBBK0244
1518,SG-1915BBBK2185
1635,SG-1915BBBK2185
2763,SG-19B3RPI3A97D
3869,SG-19B3RPI3A97D
3775,SG-1A06RPI3C29C
3799,SG-1A64RPI34AAD
2636,SG-1A93RPI36374
3381,SG-1ACBRPI38EBA
3725,SG-1ACBRPI38EBA
4030,SG-1B0BRPI30C8A
3758,SG-1B0BRPI30C8D
4029,SG-1B0BRPI30C8D
3250,SG-1B99RPI3C575
3474,SG-1BB3RPI30B3F
2220,SG-1CFDRPI34E5B
2146,SG-1D53RPI333CD
2859,SG-1E10RPI2E46A
2490,SG-1E11RPI33E53
3096,SG-1E6FRPI3F01E
2406,SG-1E81RPI39C63
2896,SG-1E92RPI3C31E
3515,SG-1E9DRPI3A4D5
4019,SG-1EB8RPI30C3A
3416,SG-1EF8RPI3FC69
3544,SG-1EF8RPI3FC69
3100,SG-1FA4RPI38230
2782,SG-1FA6RPI37A39
2817,SG-1FA6RPI37A39
3755,SG-1FBFRPI3A2F2
2807,SG-1FDBRPI3E7F3
3519,SG-1FF7RPI3A694
3087,SG-1FF8RPI3200F
2001,SG-2013BB000037
1494,SG-2013BB000049
576,SG-2013BB000060
3357,SG-2013BB000060
525,SG-2013BB000178
2024,SG-2016BBBK1629
2025,SG-2016BBBK1E5A
2685,SG-2023RPI39E15
3195,SG-204ARPI39086
3835,SG-2080RPI34509
3234,SG-2091RPI3BB4A
2487,SG-20C0RPI3D4DC
1736,SG-2113BB001373
588,SG-2113BBBK2607
3833,SG-2198RPI3F5EB
2719,SG-21B9RPI33855
2952,SG-21B9RPI33855
2401,SG-21CCRPI3EA67
1686,SG-2213BBBK3800
2955,SG-2221RPI3DD50
3004,SG-22BBRPI31455
2769,SG-22C7RPI3CF8E
540,SG-2312BB000369
1387,SG-2312BB000369
1813,SG-2312BB000369
518,SG-2312BB000481
1566,SG-2312BB000481
1916,SG-2312BB000505
2462,SG-2312RPI33B01
579,SG-2313BBBK3010
556,SG-2313BBBK3275
567,SG-2313BBBK3320
1383,SG-2313BBBK3320
1752,SG-2313BBBK3320
533,SG-2313BBBK3338
3570,SG-2313BBBK3338
2269,SG-2313BBBK3402
2535,SG-2313BBBK3402
3129,SG-2313BBBK3402
1993,SG-2313BBBK3422
1918,SG-2313BBBK3569
2576,SG-2313BBBK3569
1449,SG-2315BBBK0364
1738,SG-2315BBBK28AA
2573,SG-2315BBBK28AA
1903,SG-2315BBBK2A01
2050,SG-2315BBBK2A02
1741,SG-2315BBBK2C0B
2600,SG-2316BBBK0426
3965,SG-23A5RPI30DAF
3880,SG-23C5RPI33D16
2741,SG-244BRPI38B86
2771,SG-2474RPI376A9
3867,SG-2474RPI376A9
3382,SG-2485RPI32B5D
3398,SG-2485RPI32B5D
2491,SG-24C4RPI3A8BD
3355,SG-24E0RPI3BA27
3616,SG-24E0RPI3BA27
2761,SG-24F7RPI38AC3
2315,SG-2516BBBK055B
1856,SG-2516BBBK1636
2900,SG-2516BBBK1DAE
2560,SG-2516BBBK1DB1
2711,SG-2516BBBK1E0D
2571,SG-2516BBBK1FBE
2558,SG-2516BBBK2068
2568,SG-2516BBBK206A
2563,SG-2516BBBK207F
2531,SG-2516BBBK2499
2577,SG-2516BBBK249C
2709,SG-2516BBBK249E
3307,SG-2516BBBK249E
2662,SG-2516BBBK24A0
2570,SG-2516BBBK24A6
2611,SG-2516BBBK24A7
2530,SG-2516BBBK24A8
3593,SG-2533RPI3201A
3701,SG-254ARPI32595
2118,SG-2616BBBK1111
2874,SG-2616BBBK1111_1
3174,SG-26D1RPI3534C
3257,SG-26F1RPI358CC
547,SG-2712BB000003
1428,SG-2712BB000003
1580,SG-2712BB000003
2925,SG-2712BB000003
537,SG-2712BB000008
584,SG-2712BB000014
1382,SG-2712BB000014
572,SG-2712BB000055
1429,SG-2712BB000055
1567,SG-2712BB000055
1609,SG-2712BB000055
504,SG-2712BB000074
1054,SG-2712BB000074
1425,SG-2712BB000074
1562,SG-2712BB000074
