deploymentID,port,frequency,type,true_bearing,height,angle
5515,2,166.38,yagi-9,195,5.8,NULL
5516,1,151.50,monopole,NULL,5,NULL
5517,1,166.38,yagi-9,NULL,NULL,NULL
5517,4,166.38,yagi-9,NULL,NULL,NULL
5519,1,166.38,yagi-8,86.58089,39,NULL
5519,2,166.38,yagi-8,356.5809,39.6,NULL
5519,3,166.38,yagi-8,176.5809,40.5,NULL
5520,1,166.38,yagi-5,322.3287,9,NULL
5520,2,166.38,yagi-5,43.32869,9,NULL
5520,3,166.38,yagi-5,162.3287,9,NULL
5520,4,166.38,yagi-5,215.3287,9,NULL
5520,5,166.38,yagi-5,270.3287,9,NULL
4789,1,166.38,j-pole,2.69071,NULL,NULL
4789,2,166.38,custom-9,137.6907,NULL,NULL
4789,4,166.38,custom-9,227.6907,NULL,NULL
5522,4,150.10,yagi-6,16.08931,NULL,NULL
5522,5,150.10,yagi-6,323.0893,NULL,NULL
5522,6,150.10,yagi-6,266.0893,NULL,NULL
5522,7,150.10,yagi-6,217.0893,NULL,NULL
5522,8,150.10,yagi-6,151.0893,NULL,NULL
5522,9,150.10,yagi-6,87.08932,NULL,NULL
5523,1,166.38,yagi-9-laird,33.6422,15.8,NULL
5523,2,166.38,yagi-9-laird,168.6422,14.6,NULL
5523,3,166.38,yagi-9-laird,303.6422,13.4,NULL
5523,4,434.00,yagi-6,258.6422,14,NULL
5523,5,434.00,yagi-6,123.6422,14,NULL
5523,6,434.00,yagi-6,33.6422,14,NULL
5524,1,166.38,yagi-9-maple,322.5092,9,NULL
5524,2,166.38,yagi-9-maple,247.5092,8,NULL
5524,3,166.38,yagi-9-maple,307.5092,7,NULL
5525,1,166.38,yagi-9-laird,42.5151,5,NULL
5525,2,166.38,yagi-9-laird,267.5151,4.5,NULL
5525,3,166.38,yagi-9-laird,342.5151,4,NULL
5526,1,166.38,yagi-9,2.891029,NULL,NULL
5526,2,166.38,yagi-9,199.891,NULL,NULL
5527,1,166.38,yagi-9,180.2905,NULL,NULL
5527,2,166.38,yagi-9,350.2905,NULL,NULL
5528,1,166.38,yagi-9,35.22413,NULL,NULL
5528,2,166.38,yagi-9,264.2241,NULL,NULL
5529,1,166.38,yagi-9,35.48884,NULL,NULL
5529,2,166.38,yagi-9,246.4888,NULL,NULL
5530,1,166.38,yagi-9,339.6824,NULL,NULL
5530,2,166.38,yagi-9,109.6824,NULL,NULL
5531,1,166.38,yagi-9,64.14374,NULL,NULL
5531,2,166.38,yagi-9,257.1437,NULL,NULL
5532,1,166.38,yagi-9,244.7121,NULL,NULL
5532,2,166.38,yagi-9,59.71205,NULL,NULL
5533,1,166.38,yagi-9,24.64222,NULL,NULL
5533,2,166.38,yagi-9,225.6422,NULL,NULL
5534,1,166.38,yagi-9,38.13999,NULL,NULL
5534,2,166.38,yagi-9,270.14,NULL,NULL
5535,1,166.38,yagi-9,36.78331,NULL,NULL
5535,2,166.38,yagi-9,311.7833,NULL,NULL
