stationID,date
10374,2014-10-07 00:00:00.000
10375,2014-07-23 00:00:00.000
10376,2014-07-23 00:00:00.000
10377,2014-10-20 23:59:00.000
10378,2013-09-28 23:59:00.000
10379,2020-01-30 16:42:33.393
10380,2019-06-08 15:46:54.537
10381,2017-07-27 18:57:23.850
10382,2017-06-06 20:40:55.300
10383,2015-10-10 00:00:00.000
10384,2014-11-08 00:00:00.000
10385,2013-09-26 00:00:00.000
10386,2013-11-22 00:00:00.000
10387,2017-04-13 11:25:46.000
10388,2017-04-03 00:50:21.360
10389,2019-11-12 14:59:55.627
10390,2017-11-20 23:59:00.000
10391,2020-07-25 09:11:50.473
10392,2019-02-15 12:15:42.490
10393,2014-11-07 00:00:00.000
10394,2014-11-07 00:00:00.000
10395,2014-11-07 00:00:00.000
10396,2014-10-20 04:41:10.383
10397,2014-11-07 00:00:00.000
10398,2014-07-24 22:43:32.083
10399,2013-08-15 00:00:00.000
10400,2013-05-11 00:00:00.000
10401,2014-05-11 20:40:00.000
10402,2015-05-12 08:00:00.000
10403,2013-05-29 10:51:00.000
10404,2015-05-31 19:00:00.000
10405,2013-05-30 11:48:00.000
10406,2016-05-12 18:00:00.000
10407,2016-05-12 18:00:00.000
10408,2016-05-12 18:00:00.000
10409,2014-05-22 00:00:00.000
10410,2014-05-22 00:00:00.000
10411,2014-05-21 13:25:10.000
10412,2014-05-22 00:00:00.000
10413,2014-05-21 00:00:00.000
10414,2014-05-21 00:00:00.000
10415,2014-05-21 00:00:00.000
10416,2014-05-22 00:00:00.000
10417,2014-05-22 00:00:00.000
10418,2015-08-27 00:00:00.000
10419,2015-08-27 00:00:00.000
10420,2014-08-09 00:00:00.000
10421,2015-06-30 19:00:00.000
10422,2015-09-03 15:00:00.000
10423,2014-08-09 00:00:00.000
10424,2014-08-10 00:00:00.000
10425,2015-08-27 00:00:00.000
10426,2014-08-09 00:00:00.000
10427,2014-08-09 00:00:00.000
10428,2014-08-10 00:00:00.000
10429,2015-08-27 00:00:00.000
10430,2015-08-27 00:00:00.000
10431,2015-08-26 00:00:00.000
10432,2015-08-26 00:00:00.000
10433,2015-09-26 00:00:00.000
10434,2015-08-26 00:00:00.000
10435,2016-06-06 07:57:00.000
10436,2017-05-19 08:09:01.460
10437,2020-08-27 01:06:01.957
10438,2020-01-10 02:31:23.187
10439,2018-07-11 17:50:07.683
10440,2022-05-21 06:11:03.437
10441,2022-05-05 14:32:45.000
10442,2021-12-23 21:06:09.173
10443,2021-10-26 17:35:00.000
10444,2021-10-12 15:21:04.593
10445,2020-06-04 09:07:38.197
10446,2022-05-21 07:00:58.000
10447,2022-05-21 07:09:34.510
10449,2021-09-13 14:24:52.377
10450,2022-05-21 06:36:32.000
10451,2022-05-21 07:04:31.000
10452,2022-04-13 15:00:00.000
10453,2022-05-21 06:19:24.000
10454,2022-05-21 06:44:25.000
10455,2022-05-21 06:27:29.000
10456,2021-09-03 18:10:22.000
10457,2021-09-30 16:32:47.287
10458,2021-03-29 14:47:48.267
10459,2022-05-21 06:44:28.000
10460,2021-06-17 22:23:20.000
10461,2021-10-18 19:54:08.123
10462,2021-10-18 17:51:55.203
10463,2021-10-26 19:21:39.000
10464,2022-05-21 06:54:05.000
10466,2021-12-16 14:37:23.000
10467,2022-05-21 06:25:17.000
10468,2021-07-26 23:59:00.000
10469,2022-05-10 13:57:31.747
10470,2022-03-28 20:52:54.357
10471,2022-04-30 00:57:00.440
10472,2022-04-14 10:51:00.730
10473,2022-05-11 10:05:19.000
10474,2022-01-21 16:11:06.490
10475,2021-08-31 14:46:08.000
10476,2021-10-20 16:18:15.867
10477,2021-10-20 17:40:19.013
10478,2021-10-20 18:12:19.847
10479,2021-10-11 18:46:48.830
10480,2022-05-21 06:44:28.000
10481,2021-10-13 00:00:00.000
10482,2022-05-21 06:44:26.000
10483,2022-05-21 08:25:09.000
10484,2021-10-13 00:00:00.000
10485,2022-05-21 09:20:33.000
10486,2022-05-03 00:20:30.357
10487,2022-05-21 09:19:17.803
