"projID","tagID","deployID","status","species","dtStart","dtEnd","lat","lon","frequency","model","manufacturer"
3,33285,21683,"active",4690,2018-07-21,2019-06-17,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33286,21684,"active",4690,2018-07-25,2019-06-21,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33287,21685,"active",4690,2018-07-25,2019-06-21,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33288,21686,"active",4690,2018-07-25,2019-06-21,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33289,21687,"active",4690,2018-07-25,2019-06-21,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33290,21688,"active",4690,2018-07-25,2019-06-21,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33291,21689,"active",4690,2018-07-25,2019-06-21,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33292,21690,"active",4690,2018-07-25,2019-06-21,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33293,21691,"active",4690,2018-07-25,2019-06-21,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33294,21692,"active",4690,2018-07-25,2019-06-21,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33295,21693,"active",4690,2018-07-25,2019-06-21,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33296,21694,"active",4690,2018-07-25,2019-06-21,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33297,21695,"active",4690,2018-07-27,2019-06-23,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33298,21696,"active",4690,2018-07-27,2019-06-23,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33299,21697,"active",4690,2018-07-27,2019-06-23,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33300,21698,"active",4690,2018-07-27,2019-06-23,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33301,21699,"active",4690,2018-07-27,2019-06-23,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33302,21700,"active",4690,2018-07-27,2019-06-23,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33252,21650,"active",4690,2017-07-28,2018-02-22,50.253745,-63.695954,166.38,"NTQB-3-2","Lotek"
3,33253,21651,"active",4690,2017-07-28,2018-02-22,50.253745,-63.695954,166.38,"NTQB-3-2","Lotek"
3,33254,21652,"active",4690,2017-07-28,2018-02-22,50.253745,-63.695954,166.38,"NTQB-3-2","Lotek"
3,33255,21653,"active",4690,2017-07-28,2018-02-22,50.253745,-63.695954,166.38,"NTQB-3-2","Lotek"
3,33256,21654,"active",4690,2017-07-28,2018-02-22,50.253745,-63.695954,166.38,"NTQB-3-2","Lotek"
3,33257,21655,"active",4690,2017-07-28,2018-02-22,50.253745,-63.695954,166.38,"NTQB-3-2","Lotek"
3,33258,21656,"active",4690,2017-07-28,2018-02-22,50.253745,-63.695954,166.38,"NTQB-3-2","Lotek"
3,33259,21657,"active",4690,2017-07-28,2018-02-22,50.253745,-63.695954,166.38,"NTQB-3-2","Lotek"
3,33260,21658,"active",4690,2017-07-28,2018-02-22,50.253745,-63.695954,166.38,"NTQB-3-2","Lotek"
